config,amostras,RMSE_pos_m,erro_final_m,erro_max_m,p95_m,RMSE_yaw_deg
Odometria,3077,1.1569038618093306,2.0000790954822034,2.339331697130307,2.000758820617811,51.656107159065776
Odom + IMU,3006,0.43066632644878106,0.6797011503533233,0.7398640822832633,0.6795412923483356,0.06514439972972205
Odom + IMU + GPS,3931,0.0068865408995842795,0.005545110471132177,0.023755547432820996,0.01032150430697265,0.03921357077217719
