t,err_pos_m,err_yaw_rad,gt_x,gt_y,est_x,est_y
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.029999999999972715,6.448463394706585e-05,9.908607114150758e-05,-6.773745809152132e-05,2.2954425665133726e-05,-7.531160386982551e-06,-1.4253803141146267e-07
0.06999999999993634,0.00016411902064913624,9.022791785034262e-06,-0.00015379972524431906,5.7166519366713686e-05,4.1564787168125886e-08,8.791596849796214e-10
0.10000000000002274,0.0002282431549590988,2.8371229879309293e-08,-0.00022164315881845198,8.018965926304134e-05,-8.007599152701004e-06,-1.520200322319674e-07
0.13999999999998636,0.00030659398699609875,5.540833700884429e-08,-0.0003002610071769496,0.00011008291854253116,-1.4215227269096336e-05,-2.696285919682804e-07
0.15999999999996817,0.0003662965536839814,2.8542567632322546e-08,-0.00035745331881020803,0.0001263230679398042,-1.3724243815837792e-05,-2.608498549791613e-07
0.1999999999999318,0.00044512422843710737,5.55377587113659e-08,-0.00043609847316705697,0.00015621245060648548,-1.9423882977912243e-05,-3.693638945555578e-07
0.2400000000000091,0.0005522726658072401,1.675869512607342e-11,-0.0005432265058251673,0.00018453650379646191,-2.2850830236753464e-05,-4.344497441887228e-07
0.2699999999999818,0.0006156522689196739,8.648096591856724e-05,-0.0006110141458739449,0.0002074745129974076,-3.158992409051723e-05,-6.006835941413927e-07
0.2999999999999545,0.0006905718981666359,6.308843378266538e-11,-0.0006791228212321698,0.0002306529981388472,-2.8400795897708347e-05,-5.404106817482819e-07
0.34000000000003183,0.0007813414914271276,2.818401862933473e-08,-0.0007650935725642682,0.0002646675893145378,-3.015038576950907e-05,-5.738825738754066e-07
0.36000000000001364,0.0008288340924586671,7.066830107205213e-11,-0.0008150548435068572,0.00027676090870887293,-3.4023121636532074e-05,-6.474586019518082e-07
0.39999999999997726,0.0009190156426206683,2.8134489724052084e-08,-0.0009010468428556351,0.00031076522124218187,-3.641784590374267e-05,-6.933618976062011e-07
0.42999999999995,0.0010053049215014564,2.7961282293809814e-05,-0.0009798029267802377,0.0003406402398238306,-3.4203557299461175e-05,-6.511571269377848e-07
0.4700000000000273,0.0010665412322924518,5.1423137483446596e-05,-0.0010478435561029897,0.00036370465961876874,-4.5547507488978835e-05,-8.674609728115449e-07
0.5,0.0011354231880435343,5.5304082629409335e-08,-0.001115812489461021,0.00038672128463002053,-4.861260101983049e-05,-9.25737876348167e-07
0.5399999999999636,0.0012427852833261943,1.4859474761763636e-11,-0.0012230487538102963,0.0004150264869098308,-5.196148932689869e-05,-9.90194747241426e-07
0.5699999999999363,0.0013065710582829033,0.00013079918161971668,-0.0012909001942524867,0.00043791813839089144,-6.0311760929403294e-05,-1.1490980478396298e-06
0.6000000000000227,0.0013813388330756542,1.780661035288844e-11,-0.0013591107623183163,0.0004610920272507535,-5.738835360491796e-05,-1.0938037914783296e-06
