t,err_pos_m,err_yaw_rad,gt_x,gt_y,est_x,est_y
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03999999999999204,1.4972264334502516e-09,7.594552821636649e-10,3.474099035116751e-07,1.4619323529529993e-09,3.4708675718477575e-07,-5.896233200106012e-15
0.05999999999997385,2.2458601896498298e-09,1.1391171915101214e-09,5.211185376552407e-07,2.1929240645590653e-09,5.206338390709383e-07,-8.965387180562665e-15
0.09999999999999432,3.743167987100699e-09,1.8983095827752253e-09,8.685431751587203e-07,3.6549572257627005e-09,8.677354115292075e-07,-1.5345747506374038e-14
0.13999999999998636,5.240531002072002e-09,2.6573276783157238e-09,1.215977638580057e-06,5.117058776704653e-09,1.2148468649471916e-06,-2.2048814356907423e-14
0.1599999999999966,5.989233375549006e-09,3.036771492507614e-09,1.389698556231167e-06,5.8481353093498e-09,1.388406298004247e-06,-2.55213513765217e-14
0.19999999999998863,7.48667729015989e-09,3.795529067269721e-09,1.7371477634142707e-06,7.310337668542388e-09,1.7355325786574144e-06,-3.270840945251535e-14
0.21999999999999886,1.7572648697738776e-07,5.018423279751664e-09,2.0846068027324804e-06,8.772607529294874e-09,1.909099426980059e-06,-3.642292162285275e-14
0.2599999999999909,9.732944546663279e-09,4.933338987492365e-09,2.2583400092202055e-06,9.503767994800683e-09,2.2562405413515984e-06,-4.409388819146607e-14
0.29999999999998295,9.000840534705126e-08,6.113294311357431e-09,2.692683784388805e-06,1.1331743543507855e-08,2.6033915482151148e-06,-5.208741409782613e-14
0.339999999999975,1.2728157063113562e-08,6.4498103359100865e-09,2.953297427943369e-06,1.2428579054812872e-08,2.950552450085625e-06,-6.040346190101051e-14
0.3599999999999852,9.0793098918538e-08,7.250326389704963e-09,3.2139166057376656e-06,1.3525452313700725e-08,3.1241366124138795e-06,-6.468241991549702e-14
0.39999999999997726,1.4974706334641713e-08,7.586707242808661e-09,3.4745413195480523e-06,1.4622363320171416e-08,3.4713123612377024e-06,-7.348218066756903e-14
0.4199999999999875,9.162610350555961e-08,8.386967369677836e-09,3.7351715702627075e-06,1.5719313406492574e-08,3.6449039482860125e-06,-7.800297388071537e-14
0.45999999999997954,1.722137793060058e-08,8.723214152102712e-09,3.995807357881631e-06,1.681630079630736e-08,3.992094549014803e-06,-8.72863629684852e-14
0.5,9.280968104302642e-08,9.901881419080608e-09,4.430212645623044e-06,1.864469734158547e-08,4.33929505357788e-06,-9.689212395562654e-14
0.539999999999992,2.0217126828095903e-08,1.0237948393568286e-08,4.6908632045372656e-06,1.974178553965089e-08,4.6865054639260535e-06,-1.068202194693306e-13
