t,err_pos_m,err_yaw_rad,gt_x,gt_y,est_x,est_y
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03000000000002956,1.282836357886571e-08,0.00010987213706215027,4.74280843043573e-07,6.16406063969066e-08,4.870592327985449e-07,6.050938255451365e-08
0.060000000000002274,2.3350455504482813e-07,2.2836588007182912e-05,9.487887018266861e-07,1.2330679011185453e-07,1.1811158995690594e-06,1.4672580836325297e-07
0.09000000000003183,2.8580521478331187e-07,0.00010987230103591539,1.4235238321447241e-06,1.8499859599785395e-07,1.708034217565848e-06,2.121732419911054e-07
0.12999999999999545,6.857882303638124e-07,0.00010987226870592949,2.0568579781610197e-06,2.6729426938487677e-07,2.7387706569047847e-06,3.400994578952578e-07
0.1500000000000341,5.639211267408015e-07,0.00010987380866817054,2.5321243892761913e-06,3.2904603042283043e-07,3.0933480732384735e-06,3.8413698924929607e-07
0.20000000000004547,5.657466657812317e-07,1.971774296517792e-05,3.166167812373999e-06,4.114217997397418e-07,3.7295401278870968e-06,4.631994392764301e-07
0.2300000000000182,6.011687529000356e-07,0.00010987194817424495,3.6419668569820374e-06,4.732337499646633e-07,4.240753367532828e-06,5.266994796033031e-07
0.2599999999999909,5.546589897076537e-07,2.1332778618057824e-05,4.117994579999618e-06,5.350715657215233e-07,4.670810707311931e-06,5.802481553109458e-07
0.30000000000001137,1.4841713610963546e-07,8.179873929342605e-06,4.75305435010398e-06,6.175622955240101e-07,4.901217732618336e-06,6.088871371455849e-07
0.3300000000000409,6.155060382900709e-07,0.00010987057830365299,5.070737026713346e-06,6.588249630290477e-07,5.684419877065055e-06,7.061646119054386e-07
0.36000000000001364,8.47792732762779e-07,7.721936470096724e-05,5.706408313876921e-06,7.413849645310222e-07,6.5510996270801465e-06,8.138356589679313e-07
0.4000000000000341,4.428698853759292e-08,8.84644937062945e-05,6.342487977484268e-06,8.239912685503725e-07,6.372861628204732e-06,7.917611786398533e-07
0.4300000000000068,3.960359449565452e-08,0.00010987195397241245,6.8198160549926e-06,8.859764388802205e-07,6.83406646637924e-06,8.490255191042831e-07
0.4600000000000364,3.306445462780435e-07,2.8181339089716758e-05,7.297374385650812e-06,9.479877483009602e-07,7.628018862217055e-06,9.477730400141396e-07
0.5,3.529606958297496e-07,8.929924053303895e-05,7.93447739599884e-06,1.0307102216167152e-06,7.592459214190286e-06,9.435046248181614e-07
0.5300000000000296,1.7100020370021076e-06,0.0001098720284454513,8.412573872185192e-06,1.0927826736839563e-06,6.722046551521525e-06,8.354417623599265e-07
